ID;ModifyDate;ComputerName;Domain;MSSQL;SSAS;SSIS;SSRS;SQLVersion;ResourceVersionString;ProductLevel;Edition;InstanceName;SQLPort;ServerType;Collation;IsCaseSensitive;IsClustered;IsFullTextInstalled;LoginMode;RootDirectory;MasterDBPath;DefaultFile;DefaultLog;BackupDirectory;ErrorLogPath;Decomissioned
;2017-06-08 12:44;S1NAV-DB-S;boxer.local;True;False;True;False;12.00.4100;Microsoft SQL Server 2014;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Backup;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1LIME-DB-S;boxer.local;True;False;True;False;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;E:\Data\;F:\Data\;Y:\SQLBackup;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1CRM-DB-S;boxer.local;True;False;True;True;11.00.3412;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1DW-DB-S;boxer.local;True;True;True;True;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;False;False;False;Mixed;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\SQLData\;L:\SQLLog\;F:\SQLBackup;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1ACS-S;boxer.local;True;False;False;False;12.00.2000;Microsoft SQL Server 2014;RTM;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;E:\Data\;L:\Log\;E:\Backup;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S4CTXBOX-DB;boxer.local;True;False;False;False;12.00.2000;Microsoft SQL Server 2014;RTM;Express Edition (64-bit);CITRIXDB;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Integrated;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\DATA;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\DATA\;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\DATA\;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\Backup;D:\Program Files\Microsoft SQL Server\MSSQL12.CITRIXDB\MSSQL\Log;0
;2017-06-08 12:44;S3DB-T;boxer.local;True;False;True;False;12.00.2000;Microsoft SQL Server 2014;RTM;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;G:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL;G:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\DATA;D:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Data\;L:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Data\;B:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Backup;G:\SQL\Microsoft SQL Server\MSSQL12.CUSTOMERDB\MSSQL\Log;0
;2017-06-08 12:44;S2NAV-T;boxer.local;True;False;False;False;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Scandinavian_CP850_CI_AS;False;False;False;Mixed;F:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;G:\Data\;H:\Data\;Y:\SQLBackup;F:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S2BIZ-T;boxer.local;True;False;True;False;10.50.4042;Microsoft SQL Server 2008 R2;SP2;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;False;False;False;Integrated;F:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL;F:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\DATA;G:\SQLData;I:\SQLLog;G:\SQLBackup;F:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1DW-DB-T;boxer.local;True;True;True;True;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;False;False;False;Mixed;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\SQLData\;L:\SQLLog\;T:\SQLBackup;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1CRMDB-DEV;boxer.local;True;False;True;True;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSCRM_DEV;63100;Standalone;SQL_Latin1_General_CP1_CI_AS;False;False;True;Mixed;S:\SQL Server\MSSQL11.MSCRM_DEV\MSSQL;S:\SQL Server\MSSQL11.MSCRM_DEV\MSSQL\DATA;F:\SQLData\MSCRM_DEV\;L:\SQLLog\MSCRM_DEV\;Y:\SQLBackup\MSCRM_DEV;S:\SQL Server\MSSQL11.MSCRM_DEV\MSSQL\Log;0
;2017-06-08 12:44;S1CRMDB-DEV;boxer.local;True;False;True;True;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSCRM_TEST;59507;Standalone;SQL_Latin1_General_CP1_CI_AS;False;False;True;Mixed;S:\SQL Server\MSSQL11.MSCRM_TEST\MSSQL;S:\SQL Server\MSSQL11.MSCRM_TEST\MSSQL\DATA;F:\SQLData\MSCRM_TEST\;L:\SQLLog\MSCRM_TEST\;Y:\SQLBackup\MSCRM_TEST;S:\SQL Server\MSSQL11.MSCRM_TEST\MSSQL\Log;0
;2017-06-08 12:44;S2CRM-T;boxer.local;True;False;False;True;11.00.3000;Microsoft SQL Server 2012;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;E:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;E:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;E:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;E:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;E:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;E:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1ACS-T;boxer.local;True;False;False;False;12.00.2000;Microsoft SQL Server 2014;RTM;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;E:\Data\;L:\Log\;E:\Backup;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K2WEBDB-T;boxer.local;True;False;True;False;13.00.4435;Microsoft SQL Server 2016;SP1;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;B:\SQL\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL;D:\SQL\MSSQL12.BOXERTEST\MSSQL\DATA;D:\SQL\MSSQL12.BOXERTEST\MSSQL\DATA\;E:\SQL\MSSQL12.BOXERTEST\MSSQL\Data\;X:\SQL\MSSQL12.BOXERTEST\MSSQL\Backup;D:\SQL\MSSQL12.BOXERTEST\MSSQL\Log;0
;2017-06-08 12:44;S1NAV-DB-P;boxer.local;True;False;True;False;12.00.4100;Microsoft SQL Server 2014;SP1;Enterprise Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Backup;F:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;BOXMLMSQL20;boxer.local;True;False;True;False;9.00.4262;Microsoft SQL Server 2005;SP3;Enterprise Edition;MSSQLSERVER;1433;Standalone;SQL_Scandinavian_CP850_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL;E:\MSSQL.1\MSSQL\DATA;;F:\SQL_Log;E:\MSSQL.1\MSSQL\Backup;E:\MSSQL.1\MSSQL\LOG;0
;2017-06-08 12:44;S-K3DB-P;boxer.local;True;False;True;False;12.00.2000;Microsoft SQL Server 2014;RTM;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;G:\MSSQL12.MSSQLSERVER\MSSQL;D:\MSSQL12.MSSQLSERVER\MSSQL\DATA;D:\MSSQL\Data\UserDatabases\;L:\MSSQL\Data\UserDatabases\;B:\MSSQL\Backup;D:\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1BIZ-DB-P;boxer.local;True;False;True;False;;;;;MSSQLSERVER;1433;;;;;;;;;;;;;0
;2017-06-08 12:44;S2BIZ-DB-P;boxer.local;True;False;True;False;;;;;MSSQLSERVER;1433;;;;;;;;;;;;;0
;2017-06-08 12:44;S-K1NAVMIG-DB-P;boxer.local;True;False;True;True;12.00.4100;Microsoft SQL Server 2014;SP1;Enterprise Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;E:\Data\;F:\Data\;Y:\SQLBackup;D:\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K2INT-DEV;boxer.local;True;False;False;False;9.00.5000;Microsoft SQL Server 2005;SP4;Express Edition;PROGET;49171;Standalone;Finnish_Swedish_CI_AS;False;False;False;Integrated;C:\Program Files (x86)\Microsoft SQL Server\MSSQL.1\MSSQL;C:\Program Files (x86)\Microsoft SQL Server\MSSQL.1\MSSQL\DATA;;;C:\Program Files (x86)\Microsoft SQL Server\MSSQL.1\MSSQL\Backup;C:\Program Files (x86)\Microsoft SQL Server\MSSQL.1\MSSQL\LOG;0
;2017-06-08 12:44;S-K2INT-DEV;boxer.local;True;False;False;False;12.00.2000;Microsoft SQL Server 2014;RTM;Express Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;False;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\DATA\;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Backup;C:\Program Files\Microsoft SQL Server\MSSQL12.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1LIME-DB-P;boxer.local;True;False;True;False;11.00.3000;Microsoft SQL Server 2012;SP1;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;E:\Data\;F:\Data\;Y:\SQLBackup;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1DW-DB-P;boxer.local;True;True;True;True;11.00.3000;Microsoft SQL Server 2012;SP1;Enterprise Edition: Core-based Licensing (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\SQLData\;L:\SQLLog\;T:\SQLBackup;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S3NAV-P;boxer.local;True;False;True;False;;;;;MSCRM_PRD;50000;;;;;;;;;;;;;0
;2017-06-08 12:44;S3NAV-P;boxer.local;True;False;True;False;;;;;TRIBOLD_PRD;60001;;;;;;;;;;;;;0
;2017-06-08 12:44;S3NAV-P;boxer.local;True;False;True;False;11.00.3412;Microsoft SQL Server 2012;SP1;Enterprise Edition: Core-based Licensing (64-bit);MSSQLSERVER;1433;Standalone;Latin1_General_CI_AS;False;False;True;Mixed;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1NAV-P;boxer.local;True;False;True;False;;;;;MSCRM_PRD;50000;;;;;;;;;;;;;0
;2017-06-08 12:44;S-K1NAV-P;boxer.local;True;False;True;False;11.00.3412;Microsoft SQL Server 2012;SP1;Enterprise Edition: Core-based Licensing (64-bit);MSSQLSERVER;1433;Standalone;Latin1_General_CI_AS;False;False;True;Mixed;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1NAV-S;boxer.local;True;False;True;False;;;;;MSCRM_STAGE;50001;;;;;;;;;;;;;0
;2017-06-08 12:44;S-K1NAV-S;boxer.local;True;False;True;False;;;;;TRIBOLD_STAGE;60001;;;;;;;;;;;;;0
;2017-06-08 12:44;S-K1NAV-S;boxer.local;True;False;True;False;11.00.3412;Microsoft SQL Server 2012;SP1;Enterprise Edition: Core-based Licensing (64-bit);MSSQLSERVER;1433;Standalone;Latin1_General_CI_AS;False;False;True;Mixed;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;F:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;BOXMLMSQL27;boxer.local;True;False;True;False;9.00.4262;Microsoft SQL Server 2005;SP3;Enterprise Edition;MSSQLSERVER;1433;Standalone;SQL_Scandinavian_CP850_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL;E:\MSSQL.1\MSSQL\DATA;;F:\SQL_Log;E:\MSSQL.1\MSSQL\Backup;E:\MSSQL.1\MSSQL\LOG;0
;2017-06-08 12:44;S-K1CRM-DB-P;boxer.local;True;False;True;True;11.00.3412;Microsoft SQL Server 2012;SP1;Enterprise Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA\;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Backup;D:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1TFS;boxer.local;True;False;False;True;11.00.3000;Microsoft SQL Server 2012;SP1;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;Latin1_General_CI_AS;False;False;True;Mixed;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;F:\SQLData\;F:\SQLData\;F:\SQLBackup;E:\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S-K1CTLG-DB-P;boxer.local;True;False;True;False;11.00.3000;Microsoft SQL Server 2012;SP1;Standard Edition (64-bit);MSSQLSERVER;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Mixed;C:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\DATA;E:\Data\;F:\Data\;Y:\SQLBackup;D:\SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Log;0
;2017-06-08 12:44;S1CTXBOX-DB;boxer.local;True;False;False;True;12.00.2000;Microsoft SQL Server 2014;RTM;Express Edition (64-bit);CTXBOXDB;1433;Standalone;Finnish_Swedish_CI_AS;False;False;True;Integrated;D:\SQLServer\MSSQL12.CTXBOXDB\MSSQL;D:\SQLServer\MSSQL12.CTXBOXDB\MSSQL\DATA;D:\SQLServer\MSSQL12.CTXBOXDB\MSSQL\DATA\;D:\SQLServer\MSSQL12.CTXBOXDB\MSSQL\DATA\;D:\SQLServer\MSSQL12.CTXBOXDB\MSSQL\Backup;D:\SQLServer\MSSQL12.CTXBOXDB\MSSQL\Log;0
;2017-06-08 12:44;S1BIZ-DB-S;boxer.local;True;False;True;False;10.50.4270;Microsoft SQL Server 2008 R2;SP2;Developer Edition (64-bit);MSSQLSERVER;1433;Standalone;SQL_Latin1_General_CP1_CI_AS;False;False;True;Mixed;D:\SQL2008R2\MSSQL10_50.MSSQLSERVER\MSSQL;D:\SQL2008R2\MSSQL10_50.MSSQLSERVER\MSSQL\DATA;D:\SQL2008R2\MSSQL\Data;E:\SQL2008R2_Log\MSSQL\Data;B:\SQL2008R2\MSSQL\Backup;D:\SQL2008R2\MSSQL10_50.MSSQLSERVER\MSSQL\Log;0
