ID;ModifyDate;ComputerName;DisplayName;Name;StartMode;StartName;PathName;Decomissioned
;2017-03-27 10:41;S2WEBDB;Application Experience;AeLookupSvc;Manual;localSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Application Layer Gateway Service;ALG;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\alg.exe;0
;2017-03-27 10:41;S2WEBDB;Apica Monitor Agent;AmonAgent;Auto;LocalSystem;C:\PROGRA~2\Apica\Monitor\rtse_s.exe;0
;2017-03-27 10:41;S2WEBDB;Application Identity;AppIDSvc;Manual;NT Authority\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Application Information;Appinfo;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Application Management;AppMgmt;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows Audio Endpoint Builder;AudioEndpointBuilder;Manual;LocalSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Windows Audio;AudioSrv;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Base Filtering Engine;BFE;Auto;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork;0
;2017-03-27 10:41;S2WEBDB;Background Intelligent Transfer Service;BITS;Auto;LocalSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Computer Browser;Browser;Disabled;LocalSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;SMS Agent Host;CcmExec;Auto;LocalSystem;C:\Windows\CCM\CcmExec.exe;0
;2017-03-27 10:41;S2WEBDB;Certificate Propagation;CertPropSvc;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Microsoft .NET Framework NGEN v2.0.50727_X86;clr_optimization_v2.0.50727_32;Manual;LocalSystem;C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe;0
;2017-03-27 10:41;S2WEBDB;Microsoft .NET Framework NGEN v2.0.50727_X64;clr_optimization_v2.0.50727_64;Manual;LocalSystem;C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe;0
;2017-03-27 10:41;S2WEBDB;Configuration Manager Remote Control;CmRcService;Disabled;LocalSystem;C:\Windows\CCM\RemCtrl\CmRcService.exe;0
;2017-03-27 10:41;S2WEBDB;COM+ System Application;COMSysApp;Manual;LocalSystem;C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235};0
;2017-03-27 10:41;S2WEBDB;Cryptographic Services;CryptSvc;Auto;NT Authority\NetworkService;C:\Windows\system32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;DCOM Server Process Launcher;DcomLaunch;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k DcomLaunch;0
;2017-03-27 10:41;S2WEBDB;Disk Defragmenter;defragsvc;Manual;localSystem;C:\Windows\system32\svchost.exe -k defragsvc;0
;2017-03-27 10:41;S2WEBDB;DHCP Client;Dhcp;Auto;NT Authority\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;DNS Client;Dnscache;Auto;NT AUTHORITY\NetworkService;C:\Windows\system32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;Wired AutoConfig;dot3svc;Manual;localSystem;C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Diagnostic Policy Service;DPS;Auto;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork;0
;2017-03-27 10:41;S2WEBDB;Extensible Authentication Protocol;EapHost;Manual;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Encrypting File System (EFS);EFS;Manual;LocalSystem;C:\Windows\System32\lsass.exe;0
;2017-03-27 10:41;S2WEBDB;Windows Event Log;eventlog;Auto;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;COM+ Event System;EventSystem;Auto;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Microsoft Fibre Channel Platform Registration Service;FCRegSvc;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Function Discovery Provider Host;fdPHost;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Function Discovery Resource Publication;FDResPub;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Windows Font Cache Service;FontCache;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Windows Presentation Foundation Font Cache 3.0.0.0;FontCache3.0.0.0;Manual;NT Authority\LocalService;C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe;0
;2017-03-27 10:41;S2WEBDB;Group Policy Client;gpsvc;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Human Interface Device Access;hidserv;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Health Key and Certificate Management;hkmsvc;Manual;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows CardSpace;idsvc;Manual;LocalSystem;C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\infocard.exe;0
;2017-03-27 10:41;S2WEBDB;IKE and AuthIP IPsec Keying Modules;IKEEXT;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;PnP-X IP Bus Enumerator;IPBusEnum;Disabled;LocalSystem;C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;IP Helper;iphlpsvc;Auto;LocalSystem;C:\Windows\System32\svchost.exe -k NetSvcs;0
;2017-03-27 10:41;S2WEBDB;CNG Key Isolation;KeyIso;Manual;LocalSystem;C:\Windows\system32\lsass.exe;0
;2017-03-27 10:41;S2WEBDB;KtmRm for Distributed Transaction Coordinator;KtmRm;Manual;NT AUTHORITY\NetworkService;C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Server;LanmanServer;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Workstation;LanmanWorkstation;Auto;NT AUTHORITY\NetworkService;C:\Windows\System32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;Link-Layer Topology Discovery Mapper;lltdsvc;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;TCP/IP NetBIOS Helper;lmhosts;Auto;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Microsoft Policy Platform Local Authority;lpasvc;Manual;LocalSystem;C:\Program Files\Microsoft Policy Platform\policyHost.exe /service;0
;2017-03-27 10:41;S2WEBDB;Microsoft Policy Platform Processor;lppsvc;Manual;LocalSystem;C:\Program Files\Microsoft Policy Platform\policyHost.exe /service;0
;2017-03-27 10:41;S2WEBDB;Multimedia Class Scheduler;MMCSS;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows Firewall;MpsSvc;Auto;NT Authority\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork;0
;2017-03-27 10:41;S2WEBDB;Distributed Transaction Coordinator;MSDTC;Auto;NT AUTHORITY\NetworkService;C:\Windows\System32\msdtc.exe;0
;2017-03-27 10:41;S2WEBDB;Microsoft iSCSI Initiator Service;MSiSCSI;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows Installer;msiserver;Manual;LocalSystem;C:\Windows\system32\msiexec.exe /V;0
;2017-03-27 10:41;S2WEBDB;SQL Server (MSSQLSERVER);MSSQLSERVER;Auto;NT AUTHORITY\NETWORKSERVICE;G:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Binn\sqlservr.exe -sMSSQLSERVER;0
;2017-03-27 10:41;S2WEBDB;SQL Active Directory Helper Service;MSSQLServerADHelper100;Disabled;NT AUTHORITY\NETWORKSERVICE;C:\Program Files\Microsoft SQL Server\100\Shared\SQLADHLP.EXE;0
;2017-03-27 10:41;S2WEBDB;Network Access Protection Agent;napagent;Manual;NT AUTHORITY\NetworkService;C:\Windows\System32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;Netlogon;Netlogon;Auto;LocalSystem;C:\Windows\system32\lsass.exe;0
;2017-03-27 10:41;S2WEBDB;Network Connections;Netman;Manual;LocalSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Network List Service;netprofm;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Net.Tcp Port Sharing Service;NetTcpPortSharing;Disabled;NT AUTHORITY\LocalService;C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvcHost.exe;0
;2017-03-27 10:41;S2WEBDB;Network Location Awareness;NlaSvc;Auto;NT AUTHORITY\NetworkService;C:\Windows\System32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;OP5 NSClient++ Windows Agent (x64);NSClientpp;Auto;LocalSystem;C:\Program Files\op5\NSClient++\nsclient++.exe;0
;2017-03-27 10:41;S2WEBDB;Network Store Interface Service;nsi;Auto;NT Authority\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Performance Counter DLL Host;PerfHost;Manual;NT AUTHORITY\LocalService;C:\Windows\SysWow64\perfhost.exe;0
;2017-03-27 10:41;S2WEBDB;Performance Logs & Alerts;pla;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork;0
;2017-03-27 10:41;S2WEBDB;Plug and Play;PlugPlay;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k DcomLaunch;0
;2017-03-27 10:41;S2WEBDB;IPsec Policy Agent;PolicyAgent;Manual;NT Authority\NetworkService;C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Power;Power;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k DcomLaunch;0
;2017-03-27 10:41;S2WEBDB;User Profile Service;ProfSvc;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Protected Storage;ProtectedStorage;Manual;LocalSystem;C:\Windows\system32\lsass.exe;0
;2017-03-27 10:41;S2WEBDB;Remote Access Auto Connection Manager;RasAuto;Manual;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Remote Access Connection Manager;RasMan;Manual;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Routing and Remote Access;RemoteAccess;Disabled;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Remote Registry;RemoteRegistry;Auto;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k regsvc;0
;2017-03-27 10:41;S2WEBDB;RPC Endpoint Mapper;RpcEptMapper;Auto;NT AUTHORITY\NetworkService;C:\Windows\system32\svchost.exe -k RPCSS;0
;2017-03-27 10:41;S2WEBDB;Remote Procedure Call (RPC) Locator;RpcLocator;Manual;NT AUTHORITY\NetworkService;C:\Windows\system32\locator.exe;0
;2017-03-27 10:41;S2WEBDB;Remote Procedure Call (RPC);RpcSs;Auto;NT AUTHORITY\NetworkService;C:\Windows\system32\svchost.exe -k rpcss;0
;2017-03-27 10:41;S2WEBDB;Resultant Set of Policy Provider;RSoPProv;Manual;LocalSystem;C:\Windows\system32\RSoPProv.exe;0
;2017-03-27 10:41;S2WEBDB;Special Administration Console Helper;sacsvr;Manual;LocalSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Security Accounts Manager;SamSs;Auto;LocalSystem;C:\Windows\system32\lsass.exe;0
;2017-03-27 10:41;S2WEBDB;Smart Card;SCardSvr;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Task Scheduler;Schedule;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Smart Card Removal Policy;SCPolicySvc;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Secondary Logon;seclogon;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;System Event Notification Service;SENS;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Remote Desktop Configuration;SessionEnv;Manual;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Internet Connection Sharing (ICS);SharedAccess;Disabled;LocalSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Shell Hardware Detection;ShellHWDetection;Auto;LocalSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;ConfigMgr Task Sequence Agent;smstsmgr;Manual;LocalSystem;C:\Windows\CCM\TSManager.exe /service;0
;2017-03-27 10:41;S2WEBDB;SNMP Trap;SNMPTRAP;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\snmptrap.exe;0
;2017-03-27 10:41;S2WEBDB;Print Spooler;Spooler;Auto;LocalSystem;C:\Windows\System32\spoolsv.exe;0
;2017-03-27 10:41;S2WEBDB;Software Protection;sppsvc;Auto;NT AUTHORITY\NetworkService;C:\Windows\system32\sppsvc.exe;0
;2017-03-27 10:41;S2WEBDB;SPP Notification Service;sppuinotify;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;SQL Server Browser;SQLBrowser;Disabled;NT AUTHORITY\LOCALSERVICE;C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe;0
;2017-03-27 10:41;S2WEBDB;SQL Server Agent (MSSQLSERVER);SQLSERVERAGENT;Auto;NT AUTHORITY\NETWORKSERVICE;G:\SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Binn\SQLAGENT.EXE -i MSSQLSERVER;0
;2017-03-27 10:41;S2WEBDB;SQL Server VSS Writer;SQLWriter;Auto;LocalSystem;C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe;0
;2017-03-27 10:41;S2WEBDB;SSDP Discovery;SSDPSRV;Disabled;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Secure Socket Tunneling Protocol Service;SstpSvc;Manual;NT Authority\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Microsoft Software Shadow Copy Provider;swprv;Manual;LocalSystem;C:\Windows\System32\svchost.exe -k swprv;0
;2017-03-27 10:41;S2WEBDB;Telephony;TapiSrv;Manual;NT AUTHORITY\NetworkService;C:\Windows\System32\svchost.exe -k tapisrv;0
;2017-03-27 10:41;S2WEBDB;TPM Base Services;TBS;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Remote Desktop Services;TermService;Manual;NT Authority\NetworkService;C:\Windows\System32\svchost.exe -k termsvcs;0
;2017-03-27 10:41;S2WEBDB;Thread Ordering Server;THREADORDER;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;TP AutoConnect Service;tpautoconnsvc;Manual;LocalSystem;C:\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe;0
;2017-03-27 10:41;S2WEBDB;TP VC Gateway Service;TPVCGateway;Manual;LocalSystem;C:\Program Files\VMware\VMware Tools\TPVCGateway.exe;0
;2017-03-27 10:41;S2WEBDB;Distributed Link Tracking Client;TrkWks;Auto;LocalSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Windows Modules Installer;TrustedInstaller;Manual;localSystem;C:\Windows\servicing\TrustedInstaller.exe;0
;2017-03-27 10:41;S2WEBDB;Interactive Services Detection;UI0Detect;Manual;LocalSystem;C:\Windows\system32\UI0Detect.exe;0
;2017-03-27 10:41;S2WEBDB;Remote Desktop Services UserMode Port Redirector;UmRdpService;Manual;localSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;UPnP Device Host;upnphost;Disabled;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S2WEBDB;Desktop Window Manager Session Manager;UxSms;Auto;localSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Credential Manager;VaultSvc;Manual;LocalSystem;C:\Windows\system32\lsass.exe;0
;2017-03-27 10:41;S2WEBDB;Virtual Disk;vds;Manual;LocalSystem;C:\Windows\System32\vds.exe;0
;2017-03-27 10:41;S2WEBDB;VMware Tools Service;VMTools;Auto;LocalSystem;C:\Program Files\VMware\VMware Tools\vmtoolsd.exe;0
;2017-03-27 10:41;S2WEBDB;VMware Upgrade Helper;VMUpgradeHelper;Auto;LocalSystem;C:\Program Files\VMware\VMware Tools\VMUpgradeHelper.exe /service;0
;2017-03-27 10:41;S2WEBDB;VMware Snapshot Provider;vmvss;Manual;LocalSystem;C:\Windows\system32\dllhost.exe /Processid:{DEA22668-6974-4C83-A352-58FB19D4060D};0
;2017-03-27 10:41;S2WEBDB;Volume Shadow Copy;VSS;Manual;LocalSystem;C:\Windows\system32\vssvc.exe;0
;2017-03-27 10:41;S2WEBDB;Windows Time;W32Time;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Block Level Backup Engine Service;wbengine;Manual;LocalSystem;C:\Windows\system32\wbengine.exe;0
;2017-03-27 10:41;S2WEBDB;Windows Color System;WcsPlugInService;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k wcssvc;0
;2017-03-27 10:41;S2WEBDB;Diagnostic Service Host;WdiServiceHost;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Diagnostic System Host;WdiSystemHost;Manual;LocalSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Windows Event Collector;Wecsvc;Manual;NT AUTHORITY\NetworkService;C:\Windows\system32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;Problem Reports and Solutions Control Panel Support;wercplsupport;Manual;localSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows Error Reporting Service;WerSvc;Manual;localSystem;C:\Windows\System32\svchost.exe -k WerSvcGroup;0
;2017-03-27 10:41;S2WEBDB;WinHTTP Web Proxy Auto-Discovery Service;WinHttpAutoProxySvc;Manual;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalService;0
;2017-03-27 10:41;S2WEBDB;Windows Management Instrumentation;Winmgmt;Auto;localSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows Remote Management (WS-Management);WinRM;Auto;NT AUTHORITY\NetworkService;C:\Windows\System32\svchost.exe -k NetworkService;0
;2017-03-27 10:41;S2WEBDB;WMI Performance Adapter;wmiApSrv;Manual;localSystem;C:\Windows\system32\wbem\WmiApSrv.exe;0
;2017-03-27 10:41;S2WEBDB;Portable Device Enumerator Service;WPDBusEnum;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S2WEBDB;Windows Update;wuauserv;Auto;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S2WEBDB;Windows Driver Foundation - User-mode Driver Framework;wudfsvc;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S1WEBDB-S;Application Experience;AeLookupSvc;Manual;localSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S1WEBDB-S;Application Layer Gateway Service;ALG;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\alg.exe;0
;2017-03-27 10:41;S1WEBDB-S;Apica Monitor Agent;AmonAgent;Auto;LocalSystem;C:\PROGRA~2\Apica\Monitor\rtse_s.exe;0
;2017-03-27 10:41;S1WEBDB-S;Application Identity;AppIDSvc;Manual;NT Authority\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation;0
;2017-03-27 10:41;S1WEBDB-S;Application Information;Appinfo;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S1WEBDB-S;Application Management;AppMgmt;Manual;LocalSystem;C:\Windows\system32\svchost.exe -k netsvcs;0
;2017-03-27 10:41;S1WEBDB-S;Windows Audio Endpoint Builder;AudioEndpointBuilder;Manual;LocalSystem;C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted;0
;2017-03-27 10:41;S1WEBDB-S;Windows Audio;AudioSrv;Manual;NT AUTHORITY\LocalService;C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted;0
;2017-03-27 10:41;S1WEBDB-S;Base Filtering Engine;BFE;Auto;NT AUTHORITY\LocalService;C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork;0
;2017-03-27 10:41;S1WEBDB-S;Background Intelligent Transfer Service;BITS;Auto;LocalSystem;C:\Windows\System32\svchost.exe -k netsvcs;0
